Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent,Acknowledged (Yes/No)
D1000,01-02-2025 11:25,Exercise,13:00:00,No,No
D1001,01-03-2025 02:52,Hydration,13:00:00,Yes,Yes
D1002,01-08-2025 13:50,Appointment,13:30:00,No,No
D1003,01-05-2025 05:16,Exercise,8:00:00,No,No
D1004,01-01-2025 04:20,Medication,11:30:00,No,No
D1005,1/20/2025 10:39,Hydration,14:30:00,No,No
D1006,1/25/2025 10:05,Medication,15:30:00,No,No
D1007,01-02-2025 21:13,Appointment,22:00:00,Yes,No
D1008,1/21/2025 15:25,Medication,12:30:00,No,No
D1009,1/15/2025 2:47,Exercise,20:30:00,Yes,Yes
D1010,1/24/2025 13:58,Appointment,20:00:00,Yes,Yes
D1011,01-10-2025 06:39,Exercise,12:30:00,Yes,Yes
D1012,1/25/2025 1:18,Appointment,10:30:00,No,No
D1013,01-06-2025 12:23,Appointment,20:30:00,No,No
D1014,1/26/2025 14:14,Hydration,13:00:00,No,No
D1015,01-07-2025 09:45,Hydration,13:00:00,No,No
D1016,01-08-2025 19:04,Appointment,7:30:00,Yes,Yes
D1017,1/21/2025 18:14,Appointment,19:30:00,Yes,Yes
D1018,1/18/2025 22:50,Medication,16:00:00,No,No
D1019,1/30/2025 20:49,Medication,13:00:00,Yes,Yes
D1020,1/29/2025 15:14,Exercise,7:00:00,Yes,No
D1021,01-12-2025 11:38,Medication,20:00:00,Yes,No
D1022,1/17/2025 2:41,Appointment,11:30:00,No,No
D1023,01-12-2025 09:28,Hydration,6:30:00,No,No
D1024,01-09-2025 15:48,Appointment,7:30:00,Yes,Yes
D1025,01-05-2025 13:05,Medication,11:30:00,Yes,Yes
D1026,01-04-2025 00:59,Medication,7:00:00,No,No
D1027,1/28/2025 7:52,Appointment,20:30:00,Yes,Yes
D1028,01-01-2025 09:40,Appointment,19:00:00,No,No
D1029,1/30/2025 21:02,Medication,15:00:00,No,No
D1030,01-07-2025 02:12,Exercise,15:00:00,No,No
D1031,01-08-2025 19:23,Medication,12:30:00,Yes,No
D1032,1/30/2025 3:43,Appointment,18:00:00,No,No
D1033,01-06-2025 20:01,Appointment,8:30:00,No,No
D1034,1/23/2025 6:47,Exercise,7:30:00,Yes,No
D1035,1/30/2025 5:07,Hydration,22:00:00,No,No
